Nama,Kategori,Latitude,Longitude,Paparan/Radionuklida,Keterangan,Lokasi,Konsentrasi Radioaktivitas Cs-137 (Bq/L),Konsentrasi Radioaktivitas Cs-134 (Bq/L),Nilai Batas (Perka Bapeten No. 7 Tahun 2017)
Sampel 9,Pengambilan Sampel,-6.196896,106.329286,Cs137,Cd030301-A-220825 (R3J3),Air sungai disamping PT. Vita (lokus C),"< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 10,Pengambilan Sampel,-6.198771,106.322228,"Cs134, Cs137",Cd020301-A-220825 (L9),Air di mesjid Jami Al Ikhlas,"< 0,80","< 0,13","Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 11,Pengambilan Sampel,-6.190535,106.323853,Cs137,Cd020302-A-220825 (J9),Air di mesjid Mujahidin,"< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 12,Pengambilan Sampel,-6.188293,106.323415,Cs137,Cd020303-A-220825 (I9),Air dari proses dekontaminasi PT. BMS,"9,74 ± 0,97",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 13,Pengambilan Sampel,-6.175113,106.3139,Cs137,cd010801-A-220825 (B10),Air selokan (dekat bekas lapak yang terbakar),"< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 14,Pengambilan Sampel,-6.164568,106.327911,Cs137,Cd030302-A-220825 (A5),Air PDAM,"< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 15,Pengambilan Sampel,-6.162231804,106.310609,Cs137,Cd030801-A-220825 (E6),"Air buangan (dekat PT. Xingye Logam Indon, selatan PT Nikomas)","< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 16,Pengambilan Sampel,-6.175529,106.316893,Cs137,Cd010801-A-220825 (E7),Air Situ Panebong (di PT. Nikomas),"1,18 ± 0,12",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 17,Pengambilan Sampel,-6.175529,106.316893,Cs137,Cd010801-A-210825 (E7),Air dari PT. Nikomas (setelah proses penjernihan),"< 0,80",-,"Cs-137: 0,22 Bq/l
Cs-134: 0,17 Bq/l"
Sampel 18,Pengambilan Sampel,-6.192801,106.327181,Cs137,Cd020301-T-220825 (K10),"Di samping PT. Sukonindo, Belakang Polsek, Lokus A","775,41 ± 77,54",-,-
Sampel 19,Pengambilan Sampel,-6.198771,106.322228,Cs137,Cd030301-T-220825 (R3J3),Di Masjid Jami Al Ikhlas,"431,62 ± 43,16",-,-
Sampel 20,Pengambilan Sampel,-6.164568,106.327911,Cs137,Cd030101-T-220825 (B10),Di bekas lapak yang terbakar dekat PT. Nikomas,"270,43 ± 27,04",-,-
Sampel 21,Pengambilan Sampel,-6.175113,106.3139,Cs137,Cd010801-T-220825 (E6),Di PT. Nikomas,"114,58 ± 11,46",-,-
Sampel 22,Pengambilan Sampel,-6.173831,106.316427,Cs137,Cd010801-T-210825 (E7),Di samping situ Panebong dekat PT. Nikomas,"102,50 ± 10,25",-,-
Sampel 23,Pengambilan Sampel,-6.180076,106.314531,Cs137,Cd010001-T-210825 (G6),Di PT. Sinta Baja Jaya,"235,89 ± 23,59",-,-
Sampel 24,Pengambilan Sampel,-6.191746,106.326859,Cs137,Cd020301-R-220825 (J10),Tanaman padi di sawah utara lokus E dan F,"24,04 ± 2,40",-,500 Bq/kg 
Sampel 25,Pengambilan Sampel,-6.192801,106.327181,Cs137,Cd020302-R-220825 (K10),Tanaman padi di sawah di dekat lokus F,"258,97 ± 25,90",-,500 Bq/kg 
Sampel 26,Pengambilan Sampel,-6.197737,106.321165,Cs137,Cd020303-R-220825 (L8),Rumput di jalanan depan PT. Kanemory,"1726 ± 172,6",-,500 Bq/kg 
Sampel 27,Pengambilan Sampel,-6.164568,106.327911,Cs137,Cd030101-R-220825 (B10),Rumput di bekas lapak yang terbakar dekat PT. Nikomas,"110,68 ± 11,07",-,500 Bq/kg 
Sampel 28,Pengambilan Sampel,-6.175113,106.3139,Cs137,Cd010801-R-220825 (E6),Rumput di PT. Nikomas,"97,78 ± 9,78",-,500 Bq/kg 
Sampel 29,Pengambilan Sampel,-6.173831,106.316893,Cs137,Cd010101-R-210825 (E7),Tanaman merambat di pinggir situ Panebong (dekat PT. Nikomas),"49,38 ± 4,94",-,500 Bq/kg 
Sampel 30-31,Pengambilan Sampel,-6.186356,106.322142,"Cs134, Cs137",Pengambilan tgl 11 September 2025,Sampling Udara di Pintu Masuk PT. BMS,-,-,-
Sampel 31-32,Pengambilan Sampel,-6.195826,106.284396,Cs137,Pengambilan tgl 12 September 2025,Hilir Sungai Ciujung : Air Sungai Ciujung-1 (20lt) dan Sedimen Sungai Ciujung-1 (2kg),-,-,-
Sampel 33-34,Pengambilan Sampel,-6.229342,106.29158,Cs137,Pengambilan tgl 12 September 2025,Hulu Sungai Ciujung : Air Sungai Ciujung-1 (20lt) dan Sedimen Sungai Ciujung-1 (2kg),-,-,-
Sampel 35-36,Pengambilan Sampel,-6.227522,106.319388,Cs137,Pengambilan tgl 12 September 2025,"Lapak pengepul Plastik  G7, Bpk. Turandi : Tanah (2kg) dan Rumput (2kg)",-,-,-
